Month_id,Origin,0
2004-06,ATL,33855
2004-06,DFW,27965
2004-06,LAX,19093
2004-06,ORD,30531
2004-06,PHX,13832
2004-07,ATL,35485
2004-07,DFW,28948
2004-07,LAX,20160
2004-07,ORD,30854
2004-07,PHX,14071
2004-08,ATL,36016
2004-08,DFW,29251
2004-08,LAX,20341
2004-08,ORD,31556
2004-08,PHX,14177
2004-09,ATL,32718
2004-09,DFW,27528
2004-09,LAX,18828
2004-09,ORD,29667
2004-09,PHX,13608
2004-10,ATL,35450
2004-10,DFW,28854
2004-10,LAX,19550
2004-10,ORD,30381
2004-10,PHX,14337
2004-11,ATL,33888
2004-11,DFW,27073
2004-11,LAX,18859
2004-11,ORD,28066
2004-11,PHX,13863
2004-12,ATL,34582
2004-12,DFW,27620
2004-12,LAX,19423
2004-12,ORD,28421
2004-12,PHX,14459
